Account,total_pnl,avg_pnl,total_trades,win_rate,avg_trade_size_usd,total_volume_usd,total_fees,frequency_segment,size_segment,performance_segment,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,3818,35.961236249345205,16159.57673389209,61697263.97,7405.312304,Frequent Trader,Large Size Trader,Inconsistent Trader,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,6.5776539167582415,7280,44.27197802197802,1653.2263269230768,12035487.66,2729.83788853,Frequent Trader,Small Size Trader,Inconsistent Trader,1
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,3809,30.191651352060912,8893.000897873459,33873440.42,9280.98285,Frequent Trader,Large Size Trader,Inconsistent Trader,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,13311,43.85846292540004,507.6269326121253,6757022.1,2218.3673664509,Frequent Trader,Small Size Trader,Inconsistent Trader,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,3239,51.99135535659154,3138.894782340228,10166880.2,3108.196722,Infrequent Trader,Small Size Trader,Consistent Winner,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-38.28662574969325,815,45.52147239263803,1729.9411042944785,1409902.0,147.07476338,Infrequent Trader,Small Size Trader,Inconsistent Trader,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,4.0281190682641395,3589,32.76678740596267,4790.5754862078575,17193375.42,1458.65712607,Infrequent Trader,Large Size Trader,Inconsistent Trader,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,161.13327482831323,332,47.59036144578313,3445.471265060241,1143896.46,176.274175917,Infrequent Trader,Large Size Trader,Inconsistent Trader,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,383,23.49869451697128,5189.367127937337,1987527.6099999999,267.967088979,Infrequent Trader,Large Size Trader,Inconsistent Trader,1
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,1237,48.42360549717058,2397.824753435732,2966109.22,747.006931,Infrequent Trader,Small Size Trader,Inconsistent Trader,1
